State,Date,people_fully_vaccinated,people_fully_vaccinated_per_hundred,daily_vaccinations,daily_vaccinations_per_million
Texas,3/11/2021,2598847,8.96,193081,6659
Texas,3/12/2021,2691427,9.28,202045,6968
Texas,3/13/2021,2776633,9.58,204566,7055
Texas,3/14/2021,2827711,9.75,211968,7310
United States,1/12/2021,782228,0.24,641524,1932
United States,1/13/2021,1020260,0.31,710238,2139
United States,1/15/2021,1610524,0.49,798707,2406
United States,1/19/2021,2023124,0.61,911493,2745
United States,1/20/2021,2161419,0.65,892403,2688
United States,1/21/2021,2394961,0.72,913912,2753
United States,1/22/2021,2756953,0.83,975540,2938
United States,1/23/2021,3027865,0.91,1057387,3185
United States,1/24/2021,3216836,0.97,1122182,3380
United States,1/25/2021,3346390,1.01,1126251,3392
United States,1/26/2021,3481921,1.05,1119058,3371
United States,1/27/2021,3801053,1.14,1161050,3497
United States,1/28/2021,4263056,1.28,1235330,3721
United States,1/29/2021,4780888,1.44,1253815,3777
United States,1/30/2021,5259693,1.58,1291416,3890
United States,1/31/2021,5657142,1.7,1324949,3991
United States,2/1/2021,5927847,1.79,1355451,4083
United States,2/2/2021,6064792,1.83,1319981,3976
United States,2/3/2021,6436931,1.94,1317946,3970
United States,2/4/2021,6926050,2.09,1287147,3877
United States,2/5/2021,7503864,2.26,1276364,3845
United States,2/6/2021,8317180,2.51,1351437,4071
United States,2/7/2021,9147185,2.76,1441091,4341
United States,2/8/2021,9518015,2.87,1456459,4387
United States,2/9/2021,9840429,2.96,1489333,4486
United States,2/10/2021,10469514,3.15,1555959,4687
United States,2/11/2021,11188782,3.37,1598080,4814
United States,2/12/2021,12085830,3.64,1655907,4988
United States,2/13/2021,13082172,3.94,1657703,4993
United States,2/14/2021,14077440,4.24,1667631,5023
United States,2/16/2021,15015434,4.52,1716311,5170
United States,2/17/2021,15471536,4.66,1644551,4954
United States,2/18/2021,16162358,4.87,1621071,4883
United States,2/19/2021,17039118,5.13,1596355,4808
United States,2/20/2021,17895667,5.39,1521088,4582
United States,2/21/2021,18865319,5.68,1458040,4392
United States,2/22/2021,19438495,5.86,1446445,4357
United States,2/23/2021,19882544,5.99,1401674,4222
United States,2/24/2021,20607261,6.21,1454731,4382
United States,2/25/2021,21555117,6.49,1505193,4534
United States,2/26/2021,22613359,6.81,1552717,4677
United States,2/27/2021,23698627,7.14,1645240,4956
United States,2/28/2021,24779920,7.46,1735053,5226
United States,3/1/2021,25466405,7.67,1817502,5474
United States,3/2/2021,26162122,7.88,1942788,5852
United States,3/3/2021,26957804,8.12,2010790,6057
United States,3/4/2021,27795980,8.37,2042676,6153
United States,3/5/2021,28701201,8.65,2079147,6263
United States,3/6/2021,29776160,8.97,2158020,6500
United States,3/7/2021,30686881,9.24,2159392,6504
United States,3/8/2021,31493040,9.49,2169981,6536
United States,3/9/2021,32102061,9.67,2151571,6481
United States,3/10/2021,32904161,9.91,2168688,6532
United States,3/11/2021,33863127,10.2,2233006,6726
United States,3/12/2021,35000159,10.54,2302844,6936
United States,3/13/2021,36929777,11.12,2541597,7656
United States,3/14/2021,37459269,11.28,2386932,7190
Utah,1/12/2021,4608,0.14,0,0
Utah,1/13/2021,6021,0.19,8811,2748
Utah,1/15/2021,10534,0.33,10995,3430
Utah,1/19/2021,15367,0.48,9711,3029
Utah,1/20/2021,16272,0.51,11108,3465
Utah,1/21/2021,17275,0.54,10599,3306
Utah,1/22/2021,20697,0.65,10646,3321
Utah,1/23/2021,20697,0.65,9396,2931
Utah,1/24/2021,20697,0.65,8146,2541
Utah,1/25/2021,25693,0.8,10650,3322
Utah,1/26/2021,25817,0.81,9602,2995
Utah,1/27/2021,30065,0.94,8288,2585
Utah,1/28/2021,30065,0.94,7176,2238
Utah,1/29/2021,40909,1.28,9771,3048
Utah,1/30/2021,45874,1.43,11967,3733
Utah,1/31/2021,45874,1.43,11967,3733
Utah,2/1/2021,62607,1.95,13432,4190
Utah,2/2/2021,63286,1.97,13460,4198
Utah,2/3/2021,63286,1.97,12118,3780
Utah,2/4/2021,74992,2.34,16237,5065
Utah,2/5/2021,80826,2.52,15053,4695
Utah,2/6/2021,88190,2.75,16255,5070
Utah,2/7/2021,88190,2.75,16255,5070
Utah,2/8/2021,104274,3.25,26228,8181
Utah,2/9/2021,105704,3.3,26519,8272
Utah,2/10/2021,105704,3.3,26519,8272
Utah,2/11/2021,105704,3.3,22400,6987
Utah,2/12/2021,105704,3.3,19110,5961
Utah,2/13/2021,105704,3.3,15712,4901
Utah,2/14/2021,105704,3.3,15712,4901
Utah,2/16/2021,118086,3.68,3195,997
Utah,2/17/2021,118086,3.68,3195,997
Utah,2/18/2021,126080,3.93,5925,1848
Utah,2/19/2021,136006,4.24,10626,3314
Utah,2/20/2021,146105,4.56,14258,4447
Utah,2/21/2021,146286,4.56,14330,4470
Utah,2/22/2021,146408,4.57,12775,3985
Utah,2/23/2021,146506,4.57,11202,3494
Utah,2/24/2021,154920,4.83,13791,4302
Utah,2/25/2021,168462,5.25,15753,4914
Utah,2/26/2021,168763,5.26,11132,3472
Utah,2/27/2021,177135,5.53,11115,3467
Utah,2/28/2021,177561,5.54,11132,3472
Utah,3/1/2021,177561,5.54,11090,3459
Utah,3/2/2021,190682,5.95,15893,4957
Utah,3/3/2021,196395,6.13,16677,5202
Utah,3/4/2021,196689,6.14,12054,3760
Utah,3/5/2021,206238,6.43,19168,5979
Utah,3/6/2021,211460,6.6,20651,6441
Utah,3/7/2021,211948,6.61,20666,6446
Utah,3/8/2021,216903,6.77,20744,6470
Utah,3/9/2021,236663,7.38,22533,7028
Utah,3/10/2021,243839,7.61,22455,7004
Utah,3/11/2021,244148,7.62,22481,7012
Utah,3/12/2021,254461,7.94,21233,6623
Utah,3/13/2021,261200,8.15,20756,6474
Utah,3/14/2021,265873,8.29,24904,7768
Vermont,1/15/2021,4100,0.66,2238,3587
Vermont,1/19/2021,6114,0.98,2118,3394
Vermont,1/20/2021,6167,0.99,1606,2574
Vermont,1/21/2021,6545,1.05,1895,3037
Vermont,1/22/2021,7954,1.27,1997,3200
Vermont,1/23/2021,8877,1.42,2133,3418
Vermont,1/24/2021,9853,1.58,2192,3513
Vermont,1/25/2021,10195,1.63,2153,3450
Vermont,1/26/2021,10349,1.66,1976,3167
Vermont,1/27/2021,10806,1.73,2080,3333
Vermont,1/28/2021,12418,1.99,2291,3672
Vermont,1/29/2021,14168,2.27,2184,3500
Vermont,1/30/2021,15213,2.44,2050,3285
Vermont,1/31/2021,16491,2.64,2187,3505
Vermont,2/1/2021,18338,2.94,2686,4305
Vermont,2/2/2021,18903,3.03,2801,4489
Vermont,2/3/2021,19237,3.08,2763,4428
Vermont,2/4/2021,20843,3.34,2618,4196
Vermont,2/5/2021,22483,3.6,2617,4194
Vermont,2/6/2021,24212,3.88,2745,4399
Vermont,2/7/2021,26162,4.19,2857,4579
Vermont,2/8/2021,27144,4.35,2557,4098
Vermont,2/9/2021,28010,4.49,2717,4354
Vermont,2/10/2021,28122,4.51,2735,4383
Vermont,2/11/2021,29713,4.76,2816,4513
Vermont,2/12/2021,31208,5.0,2855,4575
Vermont,2/13/2021,32186,5.16,2818,4516
Vermont,2/14/2021,33495,5.37,2801,4489
Vermont,2/16/2021,36773,5.89,3136,5026
Vermont,2/17/2021,36957,5.92,3157,5059
Vermont,2/18/2021,38381,6.15,3039,4870
Vermont,2/19/2021,40829,6.54,3940,6314
Vermont,2/20/2021,43084,6.9,4199,6729
Vermont,2/21/2021,45017,7.21,4337,6950
Vermont,2/22/2021,46743,7.49,4364,6994
Vermont,2/23/2021,47661,7.64,4157,6662
Vermont,2/24/2021,47757,7.65,4144,6641
Vermont,2/25/2021,49103,7.87,4235,6787
Vermont,2/26/2021,50280,8.06,3417,5476
Vermont,2/27/2021,52718,8.45,3545,5681
Vermont,2/28/2021,55224,8.85,3631,5819
Vermont,3/1/2021,58041,9.3,3802,6093
Vermont,3/2/2021,59544,9.54,3925,6290
Vermont,3/3/2021,60078,9.63,4030,6458
Vermont,3/4/2021,61060,9.79,3991,6396
Vermont,3/5/2021,61881,9.92,4006,6420
Vermont,3/6/2021,63211,10.13,3914,6273
Vermont,3/7/2021,65766,10.54,4139,6633
Vermont,3/8/2021,67485,10.82,4384,7026
Vermont,3/9/2021,69148,11.08,4620,7404
Vermont,3/10/2021,69928,11.21,4847,7768
Vermont,3/11/2021,71639,11.48,5185,8309
Vermont,3/12/2021,73038,11.71,5416,8680
Vermont,3/13/2021,77757,12.46,6755,10826
Vermont,3/14/2021,77769,12.46,5726,9176
Virgin Islands,1/15/2021,157,0.15,250,2388
Virgin Islands,1/19/2021,165,0.16,179,1710
Virgin Islands,1/20/2021,240,0.23,175,1672
Virgin Islands,1/21/2021,294,0.28,189,1806
Virgin Islands,1/22/2021,367,0.35,206,1968
Virgin Islands,1/23/2021,409,0.39,228,2178
Virgin Islands,1/24/2021,409,0.39,214,2044
Virgin Islands,1/25/2021,415,0.4,199,1901
Virgin Islands,1/26/2021,496,0.47,230,2197
Virgin Islands,1/27/2021,636,0.61,251,2398
Virgin Islands,1/28/2021,719,0.69,268,2560
Virgin Islands,1/29/2021,889,0.85,312,2981
Virgin Islands,1/30/2021,1069,1.02,373,3563
Virgin Islands,1/31/2021,1088,1.04,376,3592
Virgin Islands,2/1/2021,1090,1.04,388,3707
Virgin Islands,2/2/2021,1262,1.21,423,4041
Virgin Islands,2/3/2021,1481,1.41,459,4385
Virgin Islands,2/4/2021,1975,1.89,513,4901
Virgin Islands,2/5/2021,2211,2.11,518,4948
Virgin Islands,2/6/2021,2505,2.39,500,4776
Virgin Islands,2/7/2021,2505,2.39,496,4738
Virgin Islands,2/8/2021,2515,2.4,488,4662
Virgin Islands,2/9/2021,2751,2.63,479,4576
Virgin Islands,2/10/2021,2956,2.82,476,4547
Virgin Islands,2/11/2021,3129,2.99,422,4031
Virgin Islands,2/12/2021,3287,3.14,401,3831
Virgin Islands,2/13/2021,3533,3.38,388,3707
Virgin Islands,2/14/2021,3558,3.4,402,3840
Virgin Islands,2/16/2021,3612,3.45,336,3210
Virgin Islands,2/17/2021,3860,3.69,349,3334
Virgin Islands,2/18/2021,4175,3.99,354,3382
Virgin Islands,2/19/2021,4452,4.25,451,4308
Virgin Islands,2/20/2021,4785,4.57,521,4977
Virgin Islands,2/21/2021,4879,4.66,548,5235
Virgin Islands,2/22/2021,4940,4.72,548,5235
Virgin Islands,2/23/2021,5224,4.99,639,6104
Virgin Islands,2/24/2021,5506,5.26,612,5846
Virgin Islands,2/25/2021,5664,5.41,590,5636
Virgin Islands,2/26/2021,6066,5.79,548,5235
Virgin Islands,2/27/2021,6373,6.09,470,4490
Virgin Islands,2/28/2021,6434,6.15,464,4433
Virgin Islands,3/1/2021,6531,6.24,469,4480
Virgin Islands,3/2/2021,6651,6.35,406,3878
Virgin Islands,3/3/2021,6849,6.54,386,3687
Virgin Islands,3/4/2021,7187,6.87,548,5235
Virgin Islands,3/5/2021,7458,7.12,526,5025
Virgin Islands,3/6/2021,7616,7.28,557,5321
Virgin Islands,3/7/2021,7622,7.28,523,4996
Virgin Islands,3/8/2021,7544,7.21,512,4891
Virgin Islands,3/9/2021,7665,7.32,574,5483
Virgin Islands,3/10/2021,7896,7.54,638,6095
Virgin Islands,3/11/2021,8102,7.74,535,5111
Virgin Islands,3/12/2021,8320,7.95,548,5235
Virgin Islands,3/13/2021,8559,8.18,596,5694
Virgin Islands,3/14/2021,8559,8.18,597,5703
Virginia,1/15/2021,28164,0.33,17876,2094
Virginia,1/19/2021,35239,0.41,19470,2281
Virginia,1/20/2021,37679,0.44,17933,2101
Virginia,1/21/2021,40340,0.47,20608,2414
Virginia,1/22/2021,46004,0.54,22459,2631
Virginia,1/23/2021,49007,0.57,23485,2751
Virginia,1/24/2021,51170,0.6,23729,2780
Virginia,1/25/2021,59852,0.7,25249,2958
Virginia,1/26/2021,72628,0.85,38276,4484
Virginia,1/27/2021,79443,0.93,40808,4781
Virginia,1/28/2021,89645,1.05,43758,5127
Virginia,1/29/2021,99790,1.17,46189,5411
Virginia,1/30/2021,110877,1.3,50946,5969
Virginia,1/31/2021,118612,1.39,54508,6386
Virginia,2/1/2021,125933,1.48,55407,6491
Virginia,2/2/2021,132292,1.55,43769,5128
Virginia,2/3/2021,138321,1.62,41989,4919
Virginia,2/4/2021,146937,1.72,40095,4697
Virginia,2/5/2021,159239,1.87,38440,4504
Virginia,2/6/2021,180751,2.12,38094,4463
Virginia,2/7/2021,198115,2.32,38593,4521
Virginia,2/8/2021,209104,2.45,37831,4432
Virginia,2/9/2021,219823,2.58,37197,4358
Virginia,2/10/2021,231608,2.71,37771,4425
Virginia,2/11/2021,247784,2.9,39162,4588
Virginia,2/12/2021,273106,3.2,40141,4703
Virginia,2/13/2021,306484,3.59,39675,4648
Virginia,2/14/2021,320109,3.75,35980,4215
Virginia,2/16/2021,354097,4.15,38559,4517
Virginia,2/17/2021,368764,4.32,38966,4565
Virginia,2/18/2021,396059,4.64,40084,4696
Virginia,2/19/2021,459751,5.39,52950,6203
Virginia,2/20/2021,477252,5.59,48702,5706
Virginia,2/21/2021,501118,5.87,50009,5859
Virginia,2/22/2021,520814,6.1,48869,5725
Virginia,2/23/2021,537009,6.29,47775,5597
Virginia,2/24/2021,558330,6.54,49057,5747
Virginia,2/25/2021,586723,6.87,49284,5774
Virginia,2/26/2021,632836,7.41,39615,4641
Virginia,2/27/2021,664132,7.78,47360,5549
Virginia,2/28/2021,717061,8.4,54414,6375
Virginia,3/1/2021,737028,8.63,57354,6719
Virginia,3/2/2021,748805,8.77,57929,6787
Virginia,3/3/2021,769180,9.01,59592,6982
Virginia,3/4/2021,794630,9.31,62240,7292
Virginia,3/5/2021,818962,9.59,59952,7024
Virginia,3/6/2021,839517,9.84,55707,6526
Virginia,3/7/2021,858640,10.06,51391,6021
Virginia,3/8/2021,889474,10.42,49929,5850
Virginia,3/9/2021,917398,10.75,54612,6398
Virginia,3/10/2021,949845,11.13,56591,6630
Virginia,3/11/2021,985449,11.55,57278,6711
Virginia,3/12/2021,1016300,11.91,58784,6887
Virginia,3/13/2021,1047507,12.27,62152,7282
Virginia,3/14/2021,1066807,12.5,63765,7471
Washington,1/12/2021,17689,0.23,0,0
Washington,1/13/2021,22625,0.3,12671,1664
Washington,1/15/2021,31581,0.41,15680,2059
Washington,1/19/2021,45237,0.59,17948,2357
Washington,1/20/2021,49731,0.65,19790,2599
Washington,1/21/2021,55902,0.73,21169,2780
Washington,1/22/2021,62152,0.82,22933,3012
Washington,1/23/2021,67127,0.88,24963,3278
Washington,1/24/2021,68486,0.9,23926,3142
Washington,1/25/2021,73738,0.97,26748,3513
Washington,1/26/2021,76144,1.0,26630,3497
Washington,1/27/2021,81786,1.07,26811,3521
Washington,1/28/2021,91733,1.2,28245,3709
Washington,1/29/2021,99955,1.31,29134,3826
Washington,1/30/2021,108221,1.42,29565,3883
Washington,1/31/2021,117398,1.54,33566,4408
Washington,2/1/2021,126672,1.66,33117,4349
Washington,2/2/2021,130908,1.72,33451,4393
Washington,2/3/2021,137930,1.81,33073,4343
Washington,2/4/2021,147498,1.94,32318,4244
Washington,2/5/2021,157317,2.07,31553,4144
Washington,2/6/2021,170990,2.25,31975,4199
Washington,2/7/2021,183657,2.41,31539,4142
Washington,2/8/2021,193678,2.54,31046,4077
Washington,2/9/2021,198379,2.61,29919,3929
Washington,2/10/2021,215824,2.83,34713,4559
Washington,2/11/2021,229588,3.01,34669,4553
Washington,2/12/2021,247481,3.25,36081,4738
Washington,2/13/2021,263257,3.46,36287,4765
Washington,2/14/2021,281718,3.7,37336,4903
Washington,2/16/2021,296840,3.9,35726,4692
Washington,2/17/2021,312815,4.11,30996,4070
Washington,2/18/2021,327192,4.3,30817,4047
Washington,2/19/2021,364470,4.79,40241,5285
Washington,2/20/2021,389841,5.12,40779,5355
Washington,2/21/2021,411387,5.4,39719,5216
Washington,2/22/2021,434996,5.71,42211,5543
Washington,2/23/2021,443371,5.82,41755,5483
Washington,2/24/2021,455469,5.98,41214,5412
Washington,2/25/2021,484767,6.37,43809,5753
Washington,2/26/2021,513570,6.74,35285,4634
Washington,2/27/2021,546859,7.18,37087,4870
Washington,2/28/2021,580143,7.62,40672,5341
Washington,3/1/2021,618834,8.13,45811,6016
Washington,3/2/2021,639927,8.4,49655,6521
Washington,3/3/2021,662168,8.7,53397,7012
Washington,3/4/2021,683690,8.98,54350,7137
Washington,3/5/2021,708708,9.31,55977,7351
Washington,3/6/2021,733727,9.64,57804,7591
Washington,3/7/2021,760004,9.98,59244,7780
Washington,3/8/2021,788319,10.35,59036,7753
Washington,3/9/2021,804325,10.56,59146,7767
Washington,3/10/2021,819624,10.76,59317,7790
Washington,3/11/2021,854645,11.22,62656,8228
Washington,3/12/2021,878520,11.54,62964,8269
Washington,3/13/2021,901869,11.84,61473,8073
Washington,3/14/2021,926711,12.17,59802,7853
West Virginia,1/15/2021,21162,1.18,10292,5743
West Virginia,1/19/2021,23723,1.32,7047,3932
West Virginia,1/20/2021,25681,1.43,6845,3819
West Virginia,1/21/2021,31587,1.76,6984,3897
West Virginia,1/22/2021,35390,1.97,6651,3711
West Virginia,1/23/2021,37979,2.12,8004,4466
West Virginia,1/24/2021,39071,2.18,8493,4739
West Virginia,1/25/2021,39453,2.2,7992,4459
West Virginia,1/26/2021,42821,2.39,8262,4610
West Virginia,1/27/2021,45244,2.52,8044,4488
West Virginia,1/28/2021,50843,2.84,8151,4548
West Virginia,1/29/2021,58113,3.24,8457,4719
West Virginia,1/30/2021,65165,3.64,8794,4907
West Virginia,1/31/2021,67183,3.75,8127,4535
West Virginia,2/1/2021,67363,3.76,8048,4491
West Virginia,2/2/2021,69893,3.9,7673,4281
West Virginia,2/3/2021,72456,4.04,7591,4236
West Virginia,2/4/2021,78405,4.37,7450,4157
West Virginia,2/5/2021,87679,4.89,7408,4134
West Virginia,2/6/2021,100159,5.59,8353,4661
West Virginia,2/7/2021,104023,5.8,8896,4964
West Virginia,2/8/2021,104711,5.84,9009,5027
West Virginia,2/9/2021,107679,6.01,9030,5039
West Virginia,2/10/2021,110332,6.16,9216,5142
West Virginia,2/11/2021,114445,6.39,9147,5104
West Virginia,2/12/2021,120819,6.74,8515,4751
West Virginia,2/13/2021,133868,7.47,8749,4882
West Virginia,2/14/2021,138882,7.75,9220,5145
West Virginia,2/16/2021,142817,7.97,9461,5279
West Virginia,2/17/2021,144370,8.06,9062,5057
West Virginia,2/18/2021,148742,8.3,8965,5002
West Virginia,2/19/2021,161329,9.0,12741,7109
West Virginia,2/20/2021,169795,9.47,11711,6535
West Virginia,2/21/2021,173068,9.66,10990,6132
West Virginia,2/22/2021,174287,9.73,10783,6017
West Virginia,2/23/2021,176709,9.86,11000,6138
West Virginia,2/24/2021,178975,9.99,11210,6255
West Virginia,2/25/2021,185374,10.34,11715,6537
West Virginia,2/26/2021,193594,10.8,8757,4886
West Virginia,2/27/2021,205801,11.48,9710,5418
West Virginia,2/28/2021,209759,11.7,9826,5483
West Virginia,3/1/2021,210642,11.75,9780,5457
West Virginia,3/2/2021,211589,11.81,9413,5252
West Virginia,3/3/2021,213929,11.94,9568,5339
West Virginia,3/4/2021,217666,12.15,9702,5414
West Virginia,3/5/2021,224165,12.51,10366,5784
West Virginia,3/6/2021,230801,12.88,9723,5425
West Virginia,3/7/2021,233139,13.01,9878,5512
West Virginia,3/8/2021,230156,12.84,9765,5449
West Virginia,3/9/2021,231295,12.91,9973,5565
West Virginia,3/10/2021,232746,12.99,9951,5553
West Virginia,3/11/2021,238717,13.32,10386,5795
West Virginia,3/12/2021,246830,13.77,11052,6167
West Virginia,3/13/2021,258175,14.41,12176,6794
West Virginia,3/14/2021,259988,14.51,11842,6608
Wisconsin,1/12/2021,11343,0.19,0,0
Wisconsin,1/13/2021,11343,0.19,0,0
Wisconsin,1/15/2021,17108,0.29,10850,1863
Wisconsin,1/19/2021,23641,0.41,10892,1871
Wisconsin,1/20/2021,27312,0.47,12177,2091
Wisconsin,1/21/2021,32268,0.55,12686,2179
Wisconsin,1/22/2021,37901,0.65,13003,2233
Wisconsin,1/23/2021,42229,0.73,14986,2574
Wisconsin,1/24/2021,45641,0.78,16663,2862
Wisconsin,1/25/2021,47409,0.81,16186,2780
Wisconsin,1/26/2021,48017,0.82,14943,2566
Wisconsin,1/27/2021,52332,0.9,16147,2773
Wisconsin,1/28/2021,57508,0.99,17594,3022
Wisconsin,1/29/2021,65354,1.12,20864,3583
Wisconsin,1/30/2021,71976,1.24,23517,4039
Wisconsin,1/31/2021,78902,1.36,26110,4484
Wisconsin,2/1/2021,81097,1.39,28216,4846
Wisconsin,2/2/2021,81523,1.4,29134,5004
Wisconsin,2/3/2021,84830,1.46,30379,5218
Wisconsin,2/4/2021,84998,1.46,26714,4588
Wisconsin,2/5/2021,96850,1.66,26898,4620
Wisconsin,2/6/2021,110306,1.89,26856,4613
Wisconsin,2/7/2021,153227,2.63,35924,6170
Wisconsin,2/8/2021,159160,2.73,35695,6131
Wisconsin,2/9/2021,160627,2.76,35326,6067
Wisconsin,2/10/2021,168029,2.89,35504,6098
Wisconsin,2/11/2021,176673,3.03,39623,6805
Wisconsin,2/12/2021,190059,3.26,38475,6608
Wisconsin,2/13/2021,216092,3.71,39698,6818
Wisconsin,2/14/2021,234709,4.03,30412,5223
Wisconsin,2/16/2021,243483,4.18,31768,5456
Wisconsin,2/17/2021,252667,4.34,30827,5295
Wisconsin,2/18/2021,266163,4.57,30553,5247
Wisconsin,2/19/2021,306537,5.26,38988,6696
Wisconsin,2/20/2021,334625,5.75,38929,6686
Wisconsin,2/21/2021,359360,6.17,39315,6752
Wisconsin,2/22/2021,371843,6.39,39824,6840
Wisconsin,2/23/2021,376139,6.46,38279,6574
Wisconsin,2/24/2021,390586,6.71,38605,6630
Wisconsin,2/25/2021,410457,7.05,39149,6724
Wisconsin,2/26/2021,437472,7.51,31793,5460
Wisconsin,2/27/2021,470564,8.08,33258,5712
Wisconsin,2/28/2021,498381,8.56,34279,5887
Wisconsin,3/1/2021,515405,8.85,35514,6100
Wisconsin,3/2/2021,522547,8.97,37365,6417
Wisconsin,3/3/2021,536537,9.21,38650,6638
Wisconsin,3/4/2021,556340,9.56,40300,6922
Wisconsin,3/5/2021,581022,9.98,42401,7282
Wisconsin,3/6/2021,606114,10.41,42845,7359
Wisconsin,3/7/2021,625268,10.74,42786,7348
Wisconsin,3/8/2021,639644,10.99,43428,7459
Wisconsin,3/9/2021,642274,11.03,41608,7146
Wisconsin,3/10/2021,652728,11.21,40936,7031
Wisconsin,3/11/2021,668194,11.48,40802,7008
Wisconsin,3/12/2021,691938,11.88,41145,7067
Wisconsin,3/13/2021,737344,12.66,50069,8599
Wisconsin,3/14/2021,737620,12.67,43257,7429
Wyoming,1/12/2021,2116,0.37,0,0
Wyoming,1/13/2021,2559,0.44,1327,2293
Wyoming,1/15/2021,2803,0.48,2093,3616
Wyoming,1/19/2021,3242,0.56,1656,2861
Wyoming,1/20/2021,3441,0.59,1645,2842
Wyoming,1/21/2021,3441,0.59,1362,2353
Wyoming,1/22/2021,4515,0.78,1686,2913
Wyoming,1/23/2021,4773,0.82,1927,3330
Wyoming,1/24/2021,4895,0.85,2200,3801
Wyoming,1/25/2021,4900,0.85,2061,3561
Wyoming,1/26/2021,4900,0.85,1897,3278
Wyoming,1/27/2021,5419,0.94,2017,3485
Wyoming,1/28/2021,5419,0.94,2017,3485
Wyoming,1/29/2021,7674,1.33,2088,3608
Wyoming,1/30/2021,7674,1.33,1658,2865
Wyoming,1/31/2021,9321,1.61,2317,4003
Wyoming,2/1/2021,9651,1.67,2509,4335
Wyoming,2/2/2021,9848,1.7,2526,4365
Wyoming,2/3/2021,10495,1.81,2479,4283
Wyoming,2/4/2021,10495,1.81,2479,4283
Wyoming,2/5/2021,12852,2.22,2607,4504
Wyoming,2/6/2021,14835,2.56,3242,5602
Wyoming,2/7/2021,14835,2.56,2119,3661
Wyoming,2/8/2021,16729,2.89,2534,4378
Wyoming,2/9/2021,16729,2.89,2491,4304
Wyoming,2/10/2021,18180,3.14,2677,4625
Wyoming,2/11/2021,18180,3.14,2677,4625
Wyoming,2/12/2021,23032,3.98,3103,5361
Wyoming,2/13/2021,23032,3.98,2469,4266
Wyoming,2/14/2021,27132,4.69,3892,6725
Wyoming,2/16/2021,27531,4.76,3390,5857
Wyoming,2/17/2021,27531,4.76,2953,5102
Wyoming,2/18/2021,30110,5.2,3702,6396
Wyoming,2/19/2021,36651,6.33,5025,8682
Wyoming,2/20/2021,39323,6.79,5703,9854
Wyoming,2/21/2021,39474,6.82,4339,7497
Wyoming,2/22/2021,43289,7.48,5142,8885
Wyoming,2/23/2021,43596,7.53,5140,8881
Wyoming,2/24/2021,43734,7.56,5169,8931
Wyoming,2/25/2021,46807,8.09,5160,8916
Wyoming,2/26/2021,49043,8.47,3038,5249
Wyoming,2/27/2021,52608,9.09,3218,5560
Wyoming,2/28/2021,54962,9.5,3847,6647
Wyoming,3/1/2021,55305,9.56,3015,5209
Wyoming,3/2/2021,55332,9.56,2945,5088
Wyoming,3/3/2021,57895,10.0,3793,6554
Wyoming,3/4/2021,58073,10.03,3093,5344
Wyoming,3/5/2021,60052,10.38,3019,5216
Wyoming,3/6/2021,65167,11.26,3702,6396
Wyoming,3/7/2021,65420,11.3,3091,5341
Wyoming,3/8/2021,68219,11.79,4120,7119
Wyoming,3/9/2021,68289,11.8,4148,7167
Wyoming,3/10/2021,70919,12.25,3895,6730
Wyoming,3/11/2021,71215,12.3,3911,6758
Wyoming,3/12/2021,75057,12.97,4646,8028
Wyoming,3/13/2021,78002,13.48,4085,7058
Wyoming,3/14/2021,80582,13.92,4839,8361
