submission_date,state_name,tot_cases,new_cases,tot_deaths,new_deaths
02/04/2021,New York,1456325,8346,44100,158
04/30/2020,New York,299106,4391,23211,452
09/20/2020,New York,451041,786,32797,6
04/22/2020,New York,253219,2419,19256,153
05/21/2020,New York,353623,-3808,28663,54
10/08/2020,New York,471445,1832,32971,13
01/28/2020,New York,0,0,0,0
04/19/2020,New York,238138,4568,17027,753
12/21/2020,New York,866223,9758,36327,125
11/19/2020,New York,583231,5393,33784,44
04/26/2020,New York,282991,5385,21504,519
02/21/2020,New York,0,0,0,0
12/17/2020,New York,824814,11470,35828,130
10/28/2020,New York,503924,2148,33228,22
01/27/2021,New York,1377104,12263,42705,211
01/31/2021,New York,1425805,9988,43446,175
10/05/2020,New York,466863,967,32939,10
04/02/2020,New York,90279,5544,1957,285
01/21/2021,New York,1303000,15800,41582,183
03/11/2021,New York,1725565,7224,48454,92
09/16/2020,New York,447582,694,32773,8
10/24/2020,New York,496903,2059,33164,16
11/11/2020,New York,544646,4835,33514,19
02/28/2021,New York,1648893,7014,47412,115
07/10/2020,New York,402110,765,32015,16
07/03/2020,New York,397675,806,31855,24
09/17/2020,New York,448491,909,32783,10
08/26/2020,New York,432458,538,32610,6
03/12/2020,New York,325,108,0,0
01/13/2021,New York,1186627,14331,40015,223
03/06/2021,New York,1692633,7346,48023,93
07/22/2020,New York,410560,715,32263,41
04/07/2020,New York,138773,-2327,5489,-451
04/13/2020,New York,195081,6387,8843,-319
01/05/2021,New York,1055186,13102,38526,178
02/05/2020,New York,0,0,0,0
04/08/2020,New York,149316,10543,6240,751
07/21/2020,New York,409845,1115,32222,19
02/03/2021,New York,1447979,6673,43942,181
11/02/2020,New York,514566,1729,33303,13
09/11/2020,New York,444061,1381,32729,7
01/30/2020,New York,0,0,0,0
03/31/2021,New York,1878116,8805,50049,87
07/25/2020,New York,412562,500,32304,15
04/01/2021,New York,1887304,9188,50143,94
04/24/2020,New York,267256,3512,20400,145
03/08/2021,New York,1705512,6693,48174,70
07/09/2020,New York,401345,626,31999,31
02/06/2020,New York,0,0,0,0
10/12/2020,New York,476627,1087,33008,18
12/29/2020,New York,956638,11101,37453,133
05/08/2020,New York,324710,2748,26359,239
02/04/2020,New York,0,0,0,0
11/23/2020,New York,609609,6017,33924,27
06/01/2020,New York,368777,-4245,29766,29
02/17/2020,New York,0,0,0,0
01/22/2021,New York,1317713,14713,41766,184
07/27/2020,New York,413834,743,32329,9
06/08/2020,New York,380737,648,30280,64
11/10/2020,New York,539811,3917,33495,37
09/22/2020,New York,452278,630,32796,1
05/14/2020,New York,340799,2182,27617,169
12/26/2020,New York,924499,9973,37064,133
05/31/2020,New York,373022,6220,29737,125
11/28/2020,New York,642047,5706,34179,50
09/13/2020,New York,445508,904,32742,11
06/02/2020,New York,375224,6447,29886,120
01/30/2021,New York,1415817,11612,43271,180
12/01/2020,New York,664845,7780,34358,68
03/09/2020,New York,142,102,0,0
11/04/2020,New York,519145,2130,33348,24
03/18/2021,New York,1769000,4716,49020,80
05/18/2020,New York,349214,1278,28302,134
12/14/2020,New York,794310,9835,35462,102
08/30/2020,New York,435100,635,32646,12
07/23/2020,New York,411140,580,32272,9
03/25/2021,New York,1829234,8193,49553,62
07/28/2020,New York,414479,645,32338,9
11/17/2020,New York,572521,4857,33693,29
06/14/2020,New York,380052,593,30605,40
11/16/2020,New York,567664,4027,33664,31
01/28/2021,New York,1391114,14010,42912,207
03/15/2021,New York,1753201,6246,48793,62
11/29/2020,New York,649122,7075,34231,52
12/27/2020,New York,933842,9343,37187,123
08/29/2020,New York,434465,599,32634,10
08/06/2020,New York,420523,771,32438,7
06/22/2020,New York,390326,589,30956,29
01/25/2020,New York,0,0,0,0
11/09/2020,New York,535894,3162,33458,19
05/01/2020,New York,303129,4023,23673,462
06/29/2020,New York,394667,417,31769,25
10/02/2020,New York,463195,1669,32894,2
04/04/2020,New York,111248,9255,2820,445
12/24/2020,New York,902016,12347,36801,146
01/17/2021,New York,1250854,14755,40804,195
08/08/2020,New York,421834,697,32455,6
01/14/2021,New York,1202414,15787,40234,219
12/22/2020,New York,876564,10341,36469,142
04/10/2021,New York,1952268,6789,50811,86
04/10/2020,New York,170884,13811,7844,393
11/14/2020,New York,560187,5643,33597,22
12/05/2020,New York,705822,10891,34639,76
03/19/2021,New York,1775463,6463,49106,86
05/24/2020,New York,358844,-4015,29046,68
02/23/2020,New York,0,0,0,0
03/20/2020,New York,7845,1011,44,10
10/22/2020,New York,491687,1602,33140,19
12/11/2020,New York,764684,10884,35136,88
07/02/2020,New York,396869,887,31831,21
10/13/2020,New York,478019,1392,33022,14
